resume_text,category
"Experienced Data Scientist skilled in Python Machine Learning Pandas NumPy TensorFlow SQL and Statistics. Built predictive models and deployed them to production.",Data Scientist
"Data Scientist with strong background in deep learning TensorFlow Keras Pandas NumPy and statistical analysis for business insights.",Data Scientist
"Machine learning engineer proficient in Python Scikit-learn Pandas NumPy TensorFlow building classification and regression models.",Data Scientist
"Analytics professional using Python SQL Pandas NumPy Statistics and Power BI to build machine learning models for churn prediction.",Data Scientist
"Software Engineer with expertise in Java Python Data Structures Algorithms REST API and System Design. Built scalable backend services.",Software Engineer
"Backend developer skilled in Java Spring Boot REST API SQL Git and System Design for enterprise applications.",Software Engineer
"Full stack Software Engineer using Java Python Git Data Structures Algorithms and REST API to build web applications.",Software Engineer
"Computer Science graduate with strong Data Structures Algorithms Java Python and System Design fundamentals seeking Software Engineer role.",Software Engineer
"Python Developer experienced with Django Flask REST API SQL Git and Docker for building and deploying web applications.",Python Developer
"Backend Python Developer skilled in Flask FastAPI SQL Git Docker and REST API design for microservices.",Python Developer
"Django developer with Python SQL Git REST API and Docker experience building scalable backend systems.",Python Developer
"Python Developer building APIs with Flask Django SQL Docker and Git version control in an agile environment.",Python Developer
"Data Analyst experienced in SQL Excel Power BI Python Pandas and Data Visualization for business reporting.",Data Analyst
"Analytics professional using SQL Excel Power BI Statistics and Data Visualization to support decision making.",Data Analyst
"Data Analyst skilled in Python Pandas SQL Excel and Power BI dashboards for sales and marketing analysis.",Data Analyst
"Business intelligence analyst with SQL Power BI Excel and Data Visualization experience creating executive dashboards.",Data Analyst
"Business Analyst with strong Requirements Gathering Communication SQL Excel and Power BI skills for stakeholder reporting.",Business Analyst
"Business Analyst experienced in Data Analysis SQL Excel Power BI and Communication working with cross functional teams.",Business Analyst
"Business Analyst skilled in gathering requirements documenting processes using Excel Power BI and SQL for reporting.",Business Analyst
"Business Analyst with Communication Requirements Gathering and Data Analysis skills for product and operations teams.",Business Analyst
"Cloud Engineer with AWS Docker Kubernetes CI/CD Terraform and Linux experience managing production infrastructure.",Cloud Engineer
"DevOps and Cloud Engineer skilled in AWS Kubernetes Docker Terraform CI/CD pipelines and Linux administration.",Cloud Engineer
"Cloud infrastructure engineer using AWS Azure Docker Kubernetes Terraform and Networking to manage deployments.",Cloud Engineer
"Cloud Engineer experienced in AWS Linux Networking CI/CD and Kubernetes for scalable cloud systems.",Cloud Engineer
"UI Designer skilled in Figma Adobe XD HTML CSS User Research and Prototyping for mobile and web products.",UI Designer
"UX/UI Designer with Figma Adobe XD Prototyping User Research HTML and CSS experience designing product interfaces.",UI Designer
"Product Designer using Figma Adobe XD User Research and Prototyping to create intuitive user experiences.",UI Designer
"UI Designer with strong HTML CSS Figma and Prototyping skills for responsive web design.",UI Designer
"Machine Learning Intern with Python Pandas NumPy Scikit-learn and TensorFlow experience on academic projects.",Machine Learning Intern
"Machine Learning Intern skilled in Python Statistics Pandas NumPy and Scikit-learn for data analysis projects.",Machine Learning Intern
"Aspiring Machine Learning Intern with Python TensorFlow Pandas NumPy and Machine Learning coursework projects.",Machine Learning Intern
"Machine Learning Intern building models with Python Scikit-learn TensorFlow Pandas and NumPy for coursework.",Machine Learning Intern
